POSIX,Digital Pins,Light State,Wheel Analog,Sync Pulse,Camera Pulse
1740614043057099,255,1,3.570,1,1
1740614043076706,255,1,3.570,1,1
1740614043096313,255,1,3.577,1,1
1740614043115920,255,1,3.578,1,1
1740614043135527,255,1,3.579,1,1
1740614043155134,255,1,3.571,1,1
1740614043174741,255,1,3.572,1,1
1740614043194348,255,1,3.578,1,1
1740614043213955,255,1,3.579,1,1
1740614043233562,255,1,3.578,1,1
1740614043253169,255,1,3.570,1,1
1740614043272776,255,1,3.571,1,1
1740614043292383,255,1,3.580,1,1
1740614043311990,255,1,3.567,1,1
1740614043331597,255,1,3.579,1,1
1740614043351204,255,1,3.572,1,1
1740614043370811,255,1,3.571,1,1
1740614043390418,255,1,3.579,1,1
1740614043410025,255,1,3.578,1,1
1740614043429632,255,1,3.578,1,1
1740614043449239,255,1,3.570,1,1
1740614043468846,255,1,3.570,1,1
1740614043488453,255,1,3.578,1,1
1740614043508060,255,1,3.579,1,1
1740614043527667,255,1,3.579,1,1
1740614043547274,255,1,3.564,1,1
1740614043566881,255,1,3.571,1,1
1740614043586488,255,1,3.578,1,1
1740614043606095,255,1,3.577,1,1
1740614043625702,255,1,3.578,1,1
1740614043645309,255,1,3.570,1,1
1740614043664916,255,1,3.572,1,1
1740614043684523,255,1,3.569,1,1
1740614043704130,255,1,3.579,1,1
1740614043723737,255,1,3.579,1,1
1740614043743344,255,1,3.571,1,1
1740614043762951,255,1,3.559,1,1
1740614043782558,255,1,3.570,1,1
1740614043802165,255,1,3.578,1,1
1740614043821772,255,1,3.578,1,1
1740614043841379,255,1,3.570,1,1
1740614043860986,255,1,3.570,1,1
1740614043880593,255,1,3.571,1,1
1740614043900200,255,1,3.578,1,1
1740614043919807,255,1,3.578,1,1
1740614043939414,255,1,3.572,1,1
1740614043959021,255,1,3.572,1,1
1740614043978628,255,1,3.561,1,1
1740614043998235,255,1,3.579,1,1
1740614044017842,255,1,3.579,1,1
1740614044037449,255,1,3.571,1,1
1740614044057056,255,1,3.570,1,1
1740614044076663,255,1,3.570,1,1
1740614044096270,255,1,3.579,1,1
1740614044115877,255,1,3.579,1,1
1740614044135484,255,1,3.579,1,1
1740614044155091,255,1,3.572,1,1
1740614044174698,255,1,3.572,1,1
1740614044194305,255,1,3.578,1,1
1740614044213912,255,1,3.568,1,1
1740614044233519,255,1,3.579,1,1
1740614044253126,255,1,3.570,1,1
1740614044272733,255,1,3.571,1,1
1740614044292340,255,1,3.578,1,1
1740614044311947,255,1,3.584,1,1
1740614044331554,255,1,3.579,1,1
1740614044351161,255,1,3.571,1,1
1740614044370768,255,1,3.571,1,1
1740614044390375,255,1,3.579,1,1
1740614044409982,255,1,3.572,1,1
1740614044429589,255,1,3.578,1,1
1740614044449196,255,1,3.571,1,1
1740614044468803,255,1,3.570,1,1
1740614044488410,255,1,3.577,1,1
