POSIX,Digital Pins,Light State,Wheel Analog,Sync Pulse,Camera Pulse
1740614039803773,255,1,10.111,1,1
1740614039823380,255,1,10.111,1,1
1740614039842987,255,1,10.111,1,1
1740614039862594,255,1,10.111,1,1
1740614039882201,255,1,10.111,1,1
1740614039901808,255,1,10.111,1,1
1740614039921415,255,1,10.111,1,1
1740614039941022,255,1,10.111,1,1
1740614039960629,255,1,10.111,1,1
1740614039980236,255,1,10.111,1,1
1740614039999843,255,1,10.111,1,1
1740614040019450,255,1,10.111,1,1
1740614040039057,255,1,10.111,1,1
1740614040058664,255,1,10.111,1,1
1740614040078271,255,1,10.111,1,1
1740614040097878,255,1,10.111,1,1
1740614040117485,255,1,10.111,1,1
1740614040137092,255,1,10.111,1,1
1740614040156699,255,1,10.111,1,1
1740614040176306,255,1,10.111,1,1
1740614040195913,255,1,10.111,1,1
1740614040215520,255,1,10.111,1,1
1740614040235127,255,1,10.111,1,1
1740614040254734,255,1,10.111,1,1
1740614040274341,255,1,10.111,1,1
1740614040293948,255,1,10.111,1,1
1740614040313555,255,1,10.111,1,1
1740614040333162,255,1,10.111,1,1
1740614040352769,255,1,10.111,1,1
1740614040372376,255,1,10.111,1,1
1740614040391983,255,1,10.111,1,1
1740614040411590,255,1,10.111,1,1
1740614040431197,255,1,10.111,1,1
1740614040450804,255,1,10.111,1,1
1740614040470411,255,1,10.111,1,1
1740614040490018,255,1,10.111,1,1
1740614040509625,255,1,10.111,1,1
1740614040529232,255,1,10.111,1,1
1740614040548839,255,1,10.111,1,1
1740614040568446,255,1,10.111,1,1
1740614040588053,255,1,10.111,1,1
1740614040607660,255,1,10.111,1,1
1740614040627267,255,1,10.111,1,1
1740614040646874,255,1,10.111,1,1
1740614040666481,255,1,10.111,1,1
1740614040686088,255,1,10.111,1,1
1740614040705695,255,1,10.111,1,1
1740614040725302,255,1,10.111,1,1
1740614040744909,255,1,10.111,1,1
1740614040764516,255,1,10.111,1,1
1740614040784123,255,1,10.111,1,1
1740614040803730,255,1,10.111,1,1
1740614040823337,255,1,10.111,1,1
1740614040842944,255,1,10.111,1,1
1740614040862551,255,1,10.111,1,1
1740614040882158,255,1,10.111,1,1
1740614040901765,255,1,10.111,1,1
1740614040921372,255,1,10.111,1,1
1740614040940979,255,1,10.111,1,1
1740614040960586,255,1,10.111,1,1
1740614040980193,255,1,10.111,1,1
1740614040999800,255,1,10.111,1,1
1740614041019407,255,1,10.111,1,1
1740614041039014,255,1,10.111,1,1
1740614041058621,255,1,10.111,1,1
1740614041078228,255,1,10.111,1,1
1740614041097835,255,1,10.111,1,1
1740614041117442,255,1,10.111,1,1
1740614041137049,255,1,10.111,1,1
1740614041156656,255,1,10.111,1,1
1740614041176263,255,1,10.111,1,1
1740614041195870,255,1,10.111,1,1
1740614041215477,255,1,10.111,1,1
1740614041235084,255,1,10.111,1,1
1740614041254691,255,1,10.111,1,1
1740614041274298,255,1,10.111,1,1
1740614041293905,255,1,10.111,1,1
1740614041313512,255,1,10.111,1,1
1740614041333119,255,1,10.111,1,1
1740614041352726,255,1,10.111,1,1
1740614041372333,255,1,10.111,1,1
1740614041391940,255,1,10.111,1,1
1740614041411547,255,1,10.111,1,1
1740614041431154,255,1,10.111,1,1
1740614041450761,255,1,10.111,1,1
1740614041470368,255,1,10.111,1,1
1740614041489975,255,1,10.111,1,1
1740614041509582,255,1,10.111,1,1
1740614041529189,255,1,10.111,1,1
1740614041548796,255,1,10.111,1,1
1740614041568403,255,1,10.111,1,1
1740614041588010,255,1,10.111,1,1
1740614041607617,255,1,10.111,1,1
1740614041627224,255,1,10.111,1,1
1740614041646831,255,1,10.111,1,1
1740614041666438,255,1,10.111,1,1
1740614041686045,255,1,10.111,1,1
1740614041705652,255,1,10.111,1,1
1740614041725259,255,1,10.111,1,1
1740614041744866,255,1,10.111,1,1
1740614041764473,255,1,10.111,1,1
1740614041784080,255,1,10.111,1,1
1740614041803687,255,1,10.111,1,1
1740614041823294,255,1,10.111,1,1
1740614041842901,255,1,10.111,1,1
1740614041862508,255,1,10.111,1,1
1740614041882115,255,1,10.111,1,1
1740614041901722,255,1,10.111,1,1
1740614041921329,255,1,10.111,1,1
1740614041940936,255,1,10.111,1,1
1740614041960543,255,1,10.111,1,1
1740614041980150,255,1,10.111,1,1
1740614041999757,255,1,10.111,1,1
1740614042019364,255,1,10.111,1,1
1740614042038971,255,1,10.111,1,1
1740614042058578,255,1,10.111,1,1
1740614042078185,255,1,10.111,1,1
1740614042097792,255,1,10.111,1,1
1740614042117399,255,1,10.111,1,1
1740614042137006,255,1,10.111,1,1
1740614042156613,255,1,10.111,1,1
1740614042176220,255,1,10.111,1,1
1740614042195827,255,1,10.111,1,1
1740614042215434,255,1,10.111,1,1
